Vigência,Dispositivo legal,Valor
Julho 1994,"Lei nº 9069, de 1995","R$ 64,79"
Setembro 1994,"Lei nº 9063, de 1995","R$ 70,00"
Maio 1995,"Lei nº 9032, de 1995","R$ 100,00"
Maio 1996,"Lei nº 9971, de 2000","R$ 112,00"
Maio 1997,"Lei nº 9971, de 2000","R$ 120,00"
Maio 1998,"Lei nº 9971, de 2000","R$ 130,00"
Maio 1999,"Lei nº 9971, de 2000","R$ 136,00"
Abril 2000,"Lei nº 9971, de 2000","R$ 151,00"
Abril 2001,"Medida Provisória nº 2194-6, de 2001","R$ 180,00"
Abril 2002,"Lei nº 10525, de 2002","R$ 200,00"
Abril 2003,"Lei nº 10699, de 2003","R$ 240,00"
Maio 2004,"Lei nº 10888, de 2004","R$ 260,00"
Maio 2005,"Lei nº 11164, de 2005","R$ 300,00"
Abril 2006,"Medida Provisória nº 288, de 2006","R$ 350,00"
Abril 2007,"Lei nº 11498, de 2007 (MP nº 362, de 2007)","R$ 380,00"
Março 2008,"Medida Provisória nº 421, de 2008","R$ 415,00"
Fevereiro 2009,"Medida Provisória nº 456, de 2009","R$ 465,00"
Janeiro 2010,"Medida Provisória nº 474, de 2009","R$ 510,00"
Janeiro 2011,"Medida Provisória nº 516, de 2010","R$ 540,00"
"Lei nº 12.382, de 2011","R$ 545,00",
Janeiro 2012,"Decreto nº 7.655, de 2011","R$ 622,00"
Janeiro 2013,"Decreto nº 7.872, de 2012","R$ 678,00"
Janeiro 2014,"Decreto nº 8.166, de 2013","R$ 724,00"
Janeiro 2015,"Decreto nº 8.381, de 2014","R$ 788,00"
Janeiro 2016,"Decreto nº 8.618, de 2015","R$ 880,00"
"Janeiro 2017                   
Janeiro 2018
Janeiro 2019
Janeiro 2020
Fevereiro 2020
Janeiro 2021","Decreto nº 8.948, de 2016
Decreto nº 9.255, de 2017
Decreto nº 9.661, de 2019
MP nº 916, de 2019
MP nº 919, de 2020
MP nº 1021, de 2020","R$ 937,00
R$ 954,00
R$ 998,00
R$ 1.039,00
R$ 1.045,00
R$ 1.100,00"
